,hotel,office,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9
15,-284.3054989,-16.83743004,-4.017286867,-4.017286867,-4.017286867,-4.017286867,-4.017286867,-4.017286867,-4.017286867,-4.017286867,-4.017286867,-4.017286867
16,-263.2473909,-22.51835147,-4.172919273,-4.172919273,-4.172919273,-4.172919273,-4.172919273,-4.172919273,-4.172919273,-4.172919273,-4.172919273,-4.172919273
17,-289.5269332,-18.72852576,-5.227072333,-5.227072333,-5.227072333,-5.227072333,-5.227072333,-5.227072333,-5.227072333,-5.227072333,-5.227072333,-5.227072333
18,-317.7446723,-23.91375221,-4.464700694,-4.464700694,-4.464700694,-4.464700694,-4.464700694,-4.464700694,-4.464700694,-4.464700694,-4.464700694,-4.464700694
19,-351.9755374,-19.95660281,-4.255638059,-4.255638059,-4.255638059,-4.255638059,-4.255638059,-4.255638059,-4.255638059,-4.255638059,-4.255638059,-4.255638059
20,-343.5651525,-25.45283395,-4.235444717,-4.235444717,-4.235444717,-4.235444717,-4.235444717,-4.235444717,-4.235444717,-4.235444717,-4.235444717,-4.235444717
21,-341.1385479,-19.8930588,-4.282763423,-4.282763423,-4.282763423,-4.282763423,-4.282763423,-4.282763423,-4.282763423,-4.282763423,-4.282763423,-4.282763423
22,-435.9295513,-27.22633368,-4.413422985,-4.413422985,-4.413422985,-4.413422985,-4.413422985,-4.413422985,-4.413422985,-4.413422985,-4.413422985,-4.413422985
23,-321.8479985,-20.64062538,-4.53568791,-4.53568791,-4.53568791,-4.53568791,-4.53568791,-4.53568791,-4.53568791,-4.53568791,-4.53568791,-4.53568791
24,-132.2482786,-26.46176085,-4.693055863,-4.693055863,-4.693055863,-4.693055863,-4.693055863,-4.693055863,-4.693055863,-4.693055863,-4.693055863,-4.693055863
25,-103.1863141,-19.7188967,-4.873706485,-4.873706485,-4.873706485,-4.873706485,-4.873706485,-4.873706485,-4.873706485,-4.873706485,-4.873706485,-4.873706485
26,-100.4299748,-26.57928007,-4.997968842,-4.997968842,-4.997968842,-4.997968842,-4.997968842,-4.997968842,-4.997968842,-4.997968842,-4.997968842,-4.997968842
27,-98.84379201,-20.04709175,-5.114681835,-5.114681835,-5.114681835,-5.114681835,-5.114681835,-5.114681835,-5.114681835,-5.114681835,-5.114681835,-5.114681835
28,-123.4611853,-27.07357974,-5.213904025,-5.213904025,-5.213904025,-5.213904025,-5.213904025,-5.213904025,-5.213904025,-5.213904025,-5.213904025,-5.213904025
29,-190.7843011,-20.01569785,-5.384460909,-5.384460909,-5.384460909,-5.384460909,-5.384460909,-5.384460909,-5.384460909,-5.384460909,-5.384460909,-5.384460909
