,commercial
1227,-96.130098
1228,-99.28314501
1229,-121.1336396
1230,-198.3200755
1231,-261.3992441
1232,-208.4229323
1233,-231.3894254
1234,-219.3761393
1235,-164.8520855
1236,-193.6537113
1237,-202.0310213
1238,-196.5253811
1239,-195.5107361
1240,-194.8312289
1241,-222.585701
1242,-270.9722209
1243,-283.1969342
1244,-258.8385614
1245,-270.978404
1246,-254.3035952
1247,-137.6284386
1248,-85.78464079
1249,-88.84375903
1250,-90.50960597
1251,-91.93545253
1252,-98.95172404
1253,-125.1110398
1254,-194.0308847
1255,-258.8300053
1256,-229.6194073
1257,-262.9072891
1258,-268.9002749
1259,-267.523504
1260,-265.7189135
1261,-265.221847
1262,-264.9378138
1263,-265.7833731
1264,-264.8325945
1265,-255.1742082
1266,-265.0649851
1267,-267.9957954
1268,-265.3213821
1269,-262.3908697
1270,-256.282313
1271,-188.7790348
1272,-160.9318073
1273,-140.9709027
1274,-129.5253126
1275,-110.4034649
1276,-113.2607414
1277,-139.380176
1278,-198.6596524
1279,-260.0826953
1280,-240.6943352
1281,-260.0616155
1282,-260.7169581
1283,-263.1876971
1284,-265.6313119
1285,-265.0212465
1286,-264.2684501
1287,-259.6142357
1288,-247.1435573
1289,-237.9961513
1290,-260.8482674
1291,-248.6536442
1292,-263.7196469
1293,-268.6602696
1294,-231.7512039
1295,-164.2364
1296,-136.5617959
1297,-121.2806385
1298,-112.3810757
1299,-107.4271831
1300,-110.0759023
1301,-130.7761939
1302,-201.6552796
1303,-263.6258906
1304,-232.8948803
1305,-253.7270729
1306,-258.125748
1307,-203.939072
1308,-230.8197316
1309,-264.2754562
1310,-267.0194879
1311,-267.1189264
1312,-236.6982887
1313,-207.2522676
1314,-234.3448638
1315,-230.2208526
1316,-249.1290475
1317,-269.2979089
1318,-217.8960134
1319,-151.550205
1320,-128.9558901
1321,-115.1669645
1322,-105.3723855
1323,-98.01897057
1324,-98.27290126
1325,-102.0365673
1326,-127.5515065
1327,-192.5875929
1328,-266.6631602
1329,-269.539291
1330,-268.0133161
1331,-265.1865974
1332,-265.2065194
1333,-261.7803684
1334,-265.2323635
1335,-264.6089549
1336,-221.6070859
1337,-203.8081112
1338,-221.3729723
1339,-248.6841907
1340,-268.0965795
1341,-262.3554836
1342,-241.9252927
1343,-175.140352
1344,-140.4581538
1345,-125.2098049
1346,-116.7341572
1347,-111.0655296
1348,-113.0339431
1349,-117.6309335
1350,-140.1980303
1351,-207.0678605
1352,-263.9233972
1353,-263.2879033
1354,-264.7463835
1355,-263.9511022
1356,-263.9919978
1357,-263.1477434
1358,-262.627133
1359,-263.7809274
1360,-254.4378538
1361,-224.4675704
1362,-229.0578477
1363,-255.6665054
1364,-268.5800872
1365,-269.8137879
1366,-247.0346316
1367,-177.947563
1368,-140.613827
1369,-120.7595477
1370,-111.6090169
1371,-105.5799208
1372,-180.5986523
1373,-179.0390662
1374,-231.844588
1375,-268.931663
1376,-166.9741383
1377,-108.7413797
1378,-104.9712599
1379,-100.8803916
