,domestic,commercial
4661,64.2784401,64.2784401
4662,65.1615715,65.1615715
4663,66.1331213,66.1331213
4664,66.9457285,66.9457285
4665,67.7057057,67.7057057
4666,68.3888431,68.3888431
4667,68.9183009,68.9183009
4668,69.3335516,69.3335516
4669,69.6209114,69.6209114
4670,69.7551179,69.7551179
4671,69.7251188,69.7251188
4672,69.4261804,69.4261804
4673,69.0514548,69.0514548
4674,68.516734,68.516734
4675,67.769388,67.769388
4676,67.1688797,67.1688797
4677,66.7725758,66.7725758
4678,66.4604799,66.4604799
4679,66.2341709,66.2341709
4680,66.2068033,66.2068033
4681,66.2252238,66.2252238
4682,66.1710149,66.1710149
4683,65.9883888,65.9883888
4684,65.937864,65.937864
4685,66.3320627,66.3320627
4686,66.8352055,66.8352055
4687,67.2172993,67.2172993
4688,67.7330733,67.7330733
4689,68.3109507,68.3109507
4690,68.8335666,68.8335666
4691,69.2793427,69.2793427
4692,69.4793367,69.4793367
4693,69.7440656,69.7440656
4694,69.9224813,69.9224813
4695,69.906166,69.906166
4696,69.7540653,69.7540653
4697,69.4840734,69.4840734
4698,69.1282946,69.1282946
4699,68.1630604,68.1630604
4700,67.2041418,67.2041418
4701,66.5152151,66.5152151
4702,65.8768132,65.8768132
4703,65.4189322,65.4189322
4704,65.1573611,65.1573611
4705,65.00105,65.00105
4706,64.8142135,64.8142135
4707,64.5884308,64.5884308
4708,64.732637,64.732637
4709,65.6889241,65.6889241
4710,66.5194255,66.5194255
4711,68.0214857,68.0214857
4712,68.9546156,68.9546156
4713,69.6003857,69.6003857
4714,70.1208964,70.1208964
4715,70.5550939,70.5550939
4716,70.8919259,70.8919259
4717,70.9835021,70.9835021
4718,70.9145568,70.9145568
4719,70.8424537,70.8424537
4720,70.6914056,70.6914056
4721,70.348258,70.348258
4722,69.6245955,69.6245955
4723,68.7046231,68.7046231
4724,68.2230586,68.2230586
4725,67.9751713,67.9751713
4726,67.5225533,67.5225533
4727,66.9667805,66.9667805
4728,66.4846897,66.4846897
4729,66.0404925,66.0404925
4730,65.6152421,65.6152421
4731,65.2399902,65.2399902
4732,65.3815649,65.3815649
4733,66.2120663,66.2120663
4734,67.3120333,67.3120333
4735,68.3788434,68.3788434
4736,69.1998714,69.1998714
4737,69.8530097,69.8530097
4738,70.448255,70.448255
4739,70.927188,70.927188
4740,71.274546,71.274546
4741,71.4576984,71.4576984
4742,71.4682244,71.4682244
4743,71.248231,71.248231
4744,70.8714002,70.8714002
4745,70.3566788,70.3566788
4746,69.5172303,69.5172303
4747,68.4309471,68.4309471
4748,67.5193955,67.5193955
4749,66.9109927,66.9109927
4750,66.4778478,66.4778478
4751,66.2078559,66.2078559
4752,66.0947014,66.0947014
4753,66.1036485,66.1036485
4754,66.1973299,66.1973299
4755,66.2878535,66.2878535
4756,66.4910053,66.4910053
4757,67.0283576,67.0283576
4758,67.7809666,67.7809666
4759,68.6404145,68.6404145
4760,69.3924972,69.3924972
4761,70.1719475,70.1719475
4762,70.9782391,70.9782391
4763,71.7319007,71.7319007
4764,72.2892524,72.2892524
4765,72.6176636,72.6176636
4766,72.7397652,72.7397652
4767,72.6476627,72.6476627
4768,72.3360931,72.3360931
4769,71.806109,71.806109
4770,70.7187732,70.7187732
4771,69.2682904,69.2682904
4772,68.506208,68.506208
4773,68.3151611,68.3151611
4774,68.1720075,68.1720075
4775,67.9862236,67.9862236
4776,67.711495,67.711495
4777,67.4293982,67.4293982
4778,67.3878205,67.3878205
4779,67.3730841,67.3730841
4780,67.3088755,67.3088755
4781,67.4267667,67.4267667
4782,67.6283396,67.6283396
4783,67.9209624,67.9209624
4784,68.3841064,68.3841064
4785,69.3546036,69.3546036
4786,70.6971949,70.6971949
4787,71.5924312,71.5924312
4788,71.4471724,71.4471724
4789,71.1419184,71.1419184
4790,71.1198138,71.1198138
4791,71.1071826,71.1071826
4792,70.9266617,70.9266617
4793,70.3966776,70.3966776
4794,69.5303878,69.5303878
4795,68.7572531,68.7572531
4796,68.3077929,68.3077929
4797,68.0193805,68.0193805
4798,67.6988638,67.6988638
4799,67.5125536,67.5125536
4800,67.3951887,67.3951887
4801,67.2667715,67.2667715
4802,67.0494096,67.0494096
4803,66.8599416,66.8599416
4804,66.864152,66.864152
4805,67.2457195,67.2457195
4806,67.5172903,67.5172903
4807,68.0141175,68.0141175
4808,68.73778,68.73778
4809,69.4419694,69.4419694
4810,69.9119553,69.9119553
4811,70.0782661,70.0782661
4812,70.0614245,70.0614245
4813,70.0224783,70.0224783
4814,69.943007,69.943007
4815,69.8677461,69.8677461
4816,69.6977512,69.6977512
4817,69.4182859,69.4182859
4818,68.9146168,68.9146168
4819,68.0293802,68.0293802
4820,67.395715,67.395715
4821,67.1288809,67.1288809
4822,66.9173083,66.9173083
4823,66.7867859,66.7867859
4824,66.6357378,66.6357378
4825,66.490479,66.490479
4826,66.2889061,66.2889061
4827,66.0794387,66.0794387
4828,65.9952307,65.9952307
4829,66.3110107,66.3110107
4830,67.0478307,67.0478307
4831,68.1046411,68.1046411
4832,69.0119823,69.0119823
4833,69.595649,69.595649
4834,70.0287939,70.0287939
4835,70.3256271,70.3256271
4836,70.506148,70.506148
4837,70.5945664,70.5945664
4838,70.6161447,70.6161447
4839,70.5761459,70.5761459
4840,70.3372057,70.3372057
4841,69.9919529,69.9919529
4842,69.3451302,69.3451302
4843,68.2583207,68.2583207
4844,67.4130829,67.4130829
4845,66.8630994,66.8630994
4846,66.3336416,66.3336416
4847,65.8836551,65.8836551
4848,65.5015613,65.5015613
4849,65.1494666,65.1494666
4850,64.8968426,64.8968426
4851,64.6805333,64.6805333
4852,64.8552649,64.8552649
4853,65.7647113,65.7647113
4854,66.6015283,66.6015283
4855,67.5441316,67.5441316
4856,68.4188422,68.4188422
4857,69.1735564,69.1735564
4858,69.8014323,69.8014323
4859,70.2751023,70.2751023
4860,70.6040398,70.6040398
4861,70.7656139,70.7656139
4862,70.7314044,70.7314044
4863,70.5566728,70.5566728
4864,70.1908943,70.1908943
4865,69.6177536,69.6177536
4866,68.779884,68.779884
4867,67.5562365,67.5562365
4868,66.6962623,66.6962623
4869,66.3152211,66.3152211
4870,65.9889151,65.9889151
4871,65.7652376,65.7652376
4872,65.6268207,65.6268207
4873,65.5310341,65.5310341
4874,65.4726148,65.4726148
4875,65.4173533,65.4173533
4876,65.4720885,65.4720885
4877,66.0515448,66.0515448
4878,66.9152031,66.9152031
4879,68.0367484,68.0367484
4880,69.0393499,69.0393499
4881,69.9087975,69.9087975
4882,70.6619328,70.6619328
4883,71.1913906,71.1913906
4884,71.506118,71.506118
4885,71.6282196,71.6282196
4886,71.5603269,71.5603269
4887,71.3313864,71.3313864
4888,70.9240302,70.9240302
4889,70.3251008,70.3251008
4890,69.4488113,69.4488113
4891,68.2609522,68.2609522
4892,67.4383453,67.4383453
4893,66.9583597,66.9583597
4894,66.5436353,66.5436353
4895,66.2278553,66.2278553
4896,65.9636527,65.9636527
4897,65.7283966,65.7283966
4898,65.5436653,65.5436653
4899,65.4073536,65.4073536
4900,65.5757696,65.5757696
4901,66.3994291,66.3994291
4902,67.3225593,67.3225593
4903,68.4030532,68.4030532
4904,69.4151281,69.4151281
4905,70.3145748,70.3145748
4906,71.0250798,71.0250798
4907,71.4345412,71.4345412
4908,71.5992731,71.5992731
4909,71.5624321,71.5624321
4910,71.3729641,71.3729641
4911,71.0561315,71.0561315
4912,70.5819352,70.5819352
4913,69.9351125,69.9351125
4914,69.0140875,69.0140875
4915,67.7514938,67.7514938
4916,67.0194105,67.0194105
4917,66.7031042,66.7031042
4918,66.3662722,66.3662722
4919,66.1131219,66.1131219
4920,65.9725998,65.9725998
4921,65.9841784,65.9841784
4922,66.0073356,66.0073356
4923,66.1078589,66.1078589
4924,66.2246975,66.2246975
4925,66.7357348,66.7357348
4926,67.279929,67.279929
4927,68.0209594,68.0209594
4928,68.9104064,68.9104064
4929,69.906166,69.906166
4930,70.721931,70.721931
4931,71.1313924,71.1313924
4932,71.232442,71.232442
4933,71.1708649,71.1708649
4934,70.911399,70.911399
4935,70.5503572,70.5503572
4936,70.0819502,70.0819502
4937,69.5567028,69.5567028
4938,68.8261984,68.8261984
4939,67.7504412,67.7504412
4940,67.1599326,67.1599326
4941,66.9067823,66.9067823
4942,66.6036335,66.6036335
4943,66.2968006,66.2968006
4944,65.9962833,65.9962833
4945,65.7899737,65.7899737
4946,65.6999764,65.6999764
4947,65.5231396,65.5231396
4948,65.5978742,65.5978742
4949,66.2652226,66.2652226
4950,67.0673038,67.0673038
